ID;Year_Birth;Income;Wines;MeatProducts;FishProducts;SweetProducts;GoldProds
5524;1957;58138;635;546;172;88;88
2174;1954;46344;11;6;2;1;6
4141;1965;71613;426;127;111;21;42
6182;1984;26646;11;20;10;3;5
5324;1981;58293;173;118;46;27;15
965;1971;55635;235;164;50;49;27
6177;1985;33454;76;56;3;1;23
387;1976;7500;6;11;11;1;16
2125;1959;63033;194;480;225;112;30
8180;1952;59354;233;53;3;5;14
2569;1987;17323;3;17;6;1;5
2114;1946;82800;1006;115;59;68;45
9736;1980;41850;53;19;2;13;4
4939;1946;37760;84;38;150;12;28
2278;1985;33812;4;19;30;24;39
9360;1982;37040;86;73;69;38;48
5376;1979;2447;1;1725;1;1;1
4047;1954;65324;384;102;21;32;5
1409;1951;40689;270;27;39;6;99
7892;1969;18589;6;25;15;12;13
2404;1976;53359;173;30;3;6;41
9422;1989;38360;36;42;20;21;10
6864;1989;10979;8;10;2;2;4
3033;1963;38620;112;44;34;22;89
7373;1952;46610;96;96;33;22;43
8755;1946;68657;482;471;119;68;22
10738;1951;49389;40;19;2;1;3
10755;1976;23718;6;14;15;7;36
2968;1943;48948;437;206;160;49;42
8601;1980;80011;421;536;82;178;102
8430;1957;21994;9;6;3;1;3
2139;1975;7500;3;10;3;2;12
1371;1976;79941;123;266;227;30;174
9909;1996;7500;3;14;15;22;50
7286;1968;41728;13;15;3;5;13
6566;1954;72550;826;317;50;38;38
8614;1957;65486;245;125;37;67;14
4114;1964;79143;650;780;27;167;32
1331;1977;35790;12;20;30;1;3
2225;1977;82582;510;550;156;40;241
9381;1978;66373;328;124;12;24;109
6260;1955;82384;984;432;180;120;190
10383;1966;70287;295;482;121;120;40
7437;1988;27938;13;8;2;1;5
6853;1982;75777;712;538;69;13;80
3076;1975;66653;452;102;16;18;6
1012;1952;61823;523;134;37;14;169
4137;1948;70666;398;367;119;122;30
8082;1971;25721;1;6;3;6;15
9369;1979;88194;688;309;201;24;38
4477;1958;69096;247;159;7;82;109
1357;1970;74854;856;487;58;29;73
1402;1954;66991;496;460;189;60;12
6312;1959;65031;258;291;84;37;86
1050;1952;28332;14;13;4;15;9
5846;1977;40246;2;6;2;1;1
1859;1972;75251;721;925;97;18;18
7503;1976;75825;1032;779;137;105;51
3332;1985;29760;64;68;7;5;17
4119;1963;38620;112;44;34;22;89
535;1987;81361;163;424;27;65;76
5268;1960;29440;17;14;10;4;3
8504;1973;79593;350;568;110;133;145
7516;1983;30096;5;11;12;5;9
3037;1983;50150;135;92;65;61;11
1473;1960;47823;53;5;2;1;10
4518;1979;85693;386;183;185;132;111
9370;1945;65846;562;276;80;40;81
8908;1959;87195;217;690;50;26;38
7533;1964;49096;144;32;2;1;7
2683;1969;52413;295;271;75;98;65
3629;1978;38557;76;31;4;4;27
10991;1960;89058;454;106;31;22;43
5077;1979;77298;425;292;23;35;79
7431;1991;68126;1332;311;23;51;86
999;1991;86037;490;125;29;20;22
1592;1970;90765;547;812;151;82;33
367;1978;36550;47;94;123;103;120
9862;1969;21918;1;7;11;5;3
9805;1953;56129;320;133;39;72;48
8442;1985;19510;9;7;3;4;7
7386;1976;30992;17;14;7;3;2
7215;1983;101970;722;102;44;72;168
1491;1965;71488;162;124;40;28;172
11051;1956;77376;492;110;16;12;12
8026;1952;62998;120;73;65;89;58
9597;1969;73448;236;189;23;41;130
7660;1973;35860;15;8;4;2;20
1461;1965;36921;17;12;3;1;4
821;1992;92859;962;921;52;61;20
11084;1976;65104;738;232;13;20;50
8690;1962;86111;399;756;36;40;126
2937;1974;68352;614;132;43;33;33
9701;1988;41883;32;41;73;16;116
9949;1976;59809;598;141;32;41;49
10837;1975;23957;2;18;20;11;16
5885;1973;35688;73;90;12;1;32
4050;1966;49605;42;29;12;20;8
3830;1953;59354;295;78;39;13;13
7987;1969;65747;346;48;23;13;13
7798;1972;46344;233;57;8;20;91
92;1988;34176;5;24;19;14;20
10240;1949;69372;997;269;34;13;42
3025;1958;49967;212;69;4;12;3
