meat_type,date,price
"Mutton, kg",2018-01-03,5090.0
"Beef, kg",2018-01-03,6470.0
"Horse meat, kg",2018-01-03,4900.0
"Goat meat, kg",2018-01-03,3435.0
"Mutton, kg",2018-01-10,5100.0
"Beef, kg",2018-01-10,6475.0
"Horse meat, kg",2018-01-10,4900.0
"Goat meat, kg",2018-01-10,3435.0
"Mutton, kg",2018-01-17,5185.0
"Beef, kg",2018-01-17,6525.0
"Horse meat, kg",2018-01-17,5050.0
"Goat meat, kg",2018-01-17,3565.0
"Mutton, kg",2018-01-24,4960.0
"Beef, kg",2018-01-24,6525.0
"Horse meat, kg",2018-01-24,5050.0
"Goat meat, kg",2018-01-24,3565.0
"Mutton, kg",2018-01-31,5870.0
"Beef, kg",2018-01-31,7075.0
"Horse meat, kg",2018-01-31,5500.0
"Goat meat, kg",2018-01-31,4100.0
"Mutton, kg",2018-02-07,6035.0
"Beef, kg",2018-02-07,7165.0
"Horse meat, kg",2018-02-07,5500.0
"Goat meat, kg",2018-02-07,4100.0
"Mutton, kg",2018-02-14,5970.0
"Beef, kg",2018-02-14,7120.0
"Horse meat, kg",2018-02-14,5500.0
"Goat meat, kg",2018-02-14,4100.0
"Mutton, kg",2018-02-21,5890.0
"Beef, kg",2018-02-21,7085.0
"Horse meat, kg",2018-02-21,5500.0
"Goat meat, kg",2018-02-21,4035.0
"Mutton, kg",2018-02-28,5880.0
"Beef, kg",2018-02-28,7075.0
"Horse meat, kg",2018-02-28,5575.0
"Goat meat, kg",2018-02-28,4035.0
"Mutton, kg",2018-03-07,5790.0
"Beef, kg",2018-03-07,7155.0
"Horse meat, kg",2018-03-07,5575.0
"Goat meat, kg",2018-03-07,4035.0
"Mutton, kg",2018-03-14,6240.0
"Beef, kg",2018-03-14,7550.0
"Horse meat, kg",2018-03-14,5575.0
"Goat meat, kg",2018-03-14,4365.0
"Mutton, kg",2018-03-21,7080.0
"Beef, kg",2018-03-21,8075.0
"Horse meat, kg",2018-03-21,5575.0
"Goat meat, kg",2018-03-21,5065.0
"Mutton, kg",2018-03-28,7120.0
"Beef, kg",2018-03-28,8180.0
"Horse meat, kg",2018-03-28,5875.0
"Goat meat, kg",2018-03-28,5400.0
"Mutton, kg",2018-04-04,7155.0
"Beef, kg",2018-04-04,8200.0
"Horse meat, kg",2018-04-04,6075.0
"Goat meat, kg",2018-04-04,5535.0
"Mutton, kg",2018-04-11,7180.0
"Beef, kg",2018-04-11,8200.0
"Horse meat, kg",2018-04-11,6075.0
"Goat meat, kg",2018-04-11,5535.0
"Mutton, kg",2018-04-18,7360.0
"Beef, kg",2018-04-18,8525.0
"Horse meat, kg",2018-04-18,6075.0
"Goat meat, kg",2018-04-18,5000.0
"Mutton, kg",2018-04-25,7465.0
"Beef, kg",2018-04-25,8525.0
"Horse meat, kg",2018-04-25,6075.0
"Goat meat, kg",2018-04-25,5000.0
"Mutton, kg",2018-05-02,7510.0
"Beef, kg",2018-05-02,8480.0
"Horse meat, kg",2018-05-02,6075.0
"Goat meat, kg",2018-05-02,5000.0
"Mutton, kg",2018-05-09,7465.0
"Beef, kg",2018-05-09,8435.0
"Horse meat, kg",2018-05-09,6075.0
"Goat meat, kg",2018-05-09,5000.0
"Mutton, kg",2018-05-16,7465.0
"Beef, kg",2018-05-16,8435.0
"Horse meat, kg",2018-05-16,6075.0
"Goat meat, kg",2018-05-16,5065.0
"Mutton, kg",2018-05-23,7520.0
"Beef, kg",2018-05-23,8490.0
"Horse meat, kg",2018-05-23,6075.0
"Goat meat, kg",2018-05-23,5065.0
"Mutton, kg",2018-05-30,7480.0
"Beef, kg",2018-05-30,8475.0
"Horse meat, kg",2018-05-30,6075.0
"Goat meat, kg",2018-05-30,5065.0
"Mutton, kg",2018-06-06,7520.0
"Beef, kg",2018-06-06,8500.0
"Horse meat, kg",2018-06-06,6075.0
"Goat meat, kg",2018-06-06,5065.0
"Mutton, kg",2018-06-13,7500.0
"Beef, kg",2018-06-13,8490.0
"Horse meat, kg",2018-06-13,6075.0
"Goat meat, kg",2018-06-13,5065.0
"Mutton, kg",2018-06-20,7490.0
"Beef, kg",2018-06-20,8920.0
"Horse meat, kg",2018-06-20,6600.0
"Goat meat, kg",2018-06-20,5265.0
"Mutton, kg",2018-06-27,7545.0
"Beef, kg",2018-06-27,9035.0
"Horse meat, kg",2018-06-27,6365.0
"Goat meat, kg",2018-06-27,5365.0
"Mutton, kg",2018-07-04,7575.0
"Beef, kg",2018-07-04,9160.0
"Horse meat, kg",2018-07-04,6600.0
"Goat meat, kg",2018-07-04,5350.0
"Mutton, kg",2018-07-10,7700.0
"Beef, kg",2018-07-10,9110.0
"Horse meat, kg",2018-07-10,6730.0
"Goat meat, kg",2018-07-10,5670.0
"Mutton, kg",2018-07-18,7520.0
"Beef, kg",2018-07-18,9340.0
"Horse meat, kg",2018-07-18,7125.0
"Goat meat, kg",2018-07-18,5500.0
"Mutton, kg",2018-07-25,7340.0
"Beef, kg",2018-07-25,8730.0
"Horse meat, kg",2018-07-25,6880.0
"Goat meat, kg",2018-07-25,5500.0
"Mutton, kg",2018-08-01,7315.0
"Beef, kg",2018-08-01,8710.0
"Horse meat, kg",2018-08-01,6375.0
"Goat meat, kg",2018-08-01,5500.0
"Mutton, kg",2018-08-08,7275.0
"Beef, kg",2018-08-08,8650.0
"Horse meat, kg",2018-08-08,6375.0
"Goat meat, kg",2018-08-08,5500.0
"Mutton, kg",2018-08-15,6810.0
"Beef, kg",2018-08-15,7980.0
"Horse meat, kg",2018-08-15,6250.0
"Goat meat, kg",2018-08-15,5350.0
"Mutton, kg",2018-08-22,6800.0
"Beef, kg",2018-08-22,7910.0
"Horse meat, kg",2018-08-22,6250.0
"Goat meat, kg",2018-08-22,5000.0
"Mutton, kg",2018-08-29,6710.0
"Beef, kg",2018-08-29,7880.0
"Horse meat, kg",2018-08-29,6125.0
"Goat meat, kg",2018-08-29,4900.0
"Mutton, kg",2018-09-05,6580.0
"Beef, kg",2018-09-05,7835.0
"Horse meat, kg",2018-09-05,6125.0
"Goat meat, kg",2018-09-05,4700.0
"Mutton, kg",2018-09-12,6420.0
"Beef, kg",2018-09-12,7810.0
"Horse meat, kg",2018-09-12,6125.0
"Goat meat, kg",2018-09-12,4700.0
"Mutton, kg",2018-09-19,6360.0
"Beef, kg",2018-09-19,7780.0
"Horse meat, kg",2018-09-19,6125.0
"Goat meat, kg",2018-09-19,4700.0
"Mutton, kg",2018-09-26,6290.0
"Beef, kg",2018-09-26,7700.0
"Horse meat, kg",2018-09-26,5950.0
"Goat meat, kg",2018-09-26,4700.0
"Mutton, kg",2018-10-03,6260.0
